Vendor,Supplier
Link,BRTB
LINK Audio,Yorkville Sound
Media,BRTB
Monster,B&J Music
Music 8,"Music 8)

MXL"
Neutrik,"Rapco, SFM"
Next Gen Cables,"Next Gen Musical)

Pig Hog Cables"
Pivot-All,Godlyke
Player,BRTB
Power-All,"Godlyke, KO Music"
Power-Grip,Godlyke
Power-X,BRTB
Proco,HPC
ProCo Sound,Rapco
RapcoHorizon,Rapco
RAT,Rapco
Revelation,Revelation Cable
RoadHog,Rapco
Soundcast,BRTB
StageMASTER,Rapco
Studio One,Yorkville Sound
Switchcraft,"McBride, Q-Components, Rapco,
Yorkville Sound"
Theatron,BRTB
Unity,BRTB
Whirlwind,Whirlwind
Xcalibur,BRTB
AKG,HPC
American Audio,SFM
Apex,Yorkville Sound
Audio-Technica,Audio-Technica Canada
Audix,Erikson Audio
Austrian Audio,Music Marketing
Avantone Pro,Erikson Audio
Beachtek,Audio Distributors International
C-Ducer,Audio Distributors International
CAD Audio,Coast Music
Coles Electroacoustics,YSL Pro
Countryman Associates,"Contact
Distribution"
DPA,GerrAudio
Dynamount,YSL Pro
Ear Trumpet Labs,Ear Trumpet Labs
Earthworks,Earthworks
EV,Electro-Voice
Galaxy Audio,"Audio Distributors
International"
Golden Age Project,"Erikson Audio, RAD
Distribution"
Heil Sound,"Hal Leonard, Heil Sound"
LD Systems,Adam Hall
Lewitt,Yorkville Sound
Manley Labs,YSL Pro
Mic-Muff Windshields,Olsen Audio
Mojave Audio,YSL Pro
Neumann,Sennheiser Canada
Popscreen,St. Louis Music
Proel,Proel
R�DE Microphones,"Audio Distributors
International"
Roswell,Roswell
Royer Labs,YSL Pro
Rycote,Audio Distributors International
Saramonic,Erikson Audio
sE Electronics,YSL Pro
Sennheiser,Sennheiser Canada
SHS Audio,Chesbro Music
Shure,SFM
Solomon Mics,Hal Leonard
Sony,Sony
SoundID Sonarworks,Music Marketing
Soyuz Microphones,"Diffusion Audio,
Outside Sales"
TechZone,TechZone
Townsend Labs,YSL Pro
Tula,Outside Sales
United Studio Technologies,"RAD
Distribution"
WindTech,Olsen Audio
Yellowtec,"Sennheiser Canada)
Recording/Studio Equipment & Accessories
Ableton"
ADAM Audio,YSL Pro
Akai Professional,inMusic
Alesis,inMusic
Alto Professional,inMusic
AMX,AMX Canada
Angelbird,Audio Distributors International
Antelope Audio,Antelope Audio
Apogee,Music Marketing
ART ProAudio,Yorkville Sound
ATC,YSL Pro
Audient,Erikson Pro
Avid,SFM
Band-in-a-Box,PG Music
BDI,Focal Naim
Benchmark,Benchmark
Black Lion Audio,Erikson Audio
CEntrance,CEntrance
Clear Audio,Focal Naim
Cranborne Audio,YSL Pro
D.W. Fearn,D.W. Fearn
Daking,TransAudio
Digital Audio Labs,YSL Pro
Dynaudio,"Yorkville Sound)

Event Electronics"
Focal,Focal Naim
Focal Professional,Focal Naim
Focusrite,Erikson Audio
Fostex,Erikson Audio
Genelec,SFM
Great River Electronics,Great River
Hazelrigg Industries,D.W. Fearn
HEDD,RAD Distribution
Heritage Audio,Erikson Audio
IK Multimedia,"Hal Leonard, Music Marketing"
ISO-MAX,Jensen Transformers
IsoAcoustics,Focal Naim
iZotope,Hal Leonard
Jensen Transformers,"Jensen, Radial"
Juice Goose,Juise Goose
Kahayan Audio,RAD Distribution
KRK Studio Monitors,Yorkville Sound
Lindell Audio,"Erikson Audio, RAD
Distribution"
Mackie,Audio Distributors International
Maono,Korg Canada
Mc2,Audio Distributors International
Merging Technologies,YSL Pro
Middle Atlantic,Legrand
MOTU,MOTU
Musical Fidelity,Focal Naim
Naim Audio,Focal Naim
Palmer,Adam Hall
PreSonus,"Erikson Audio, Fender"
Prodipe,Kelley Distribution
Radial,Radial
RealBand,PG Music
RealTracks,PG Music
Reamp,Radial
Rupert Neve Designs,YSL Pro
Solid State Logic - SSL,SC Media
Sound Performance Lab - SPL,Focal Naim
Stedman,Stedman
Superscope,Superscope
Surgex,Erikson Audio
Tac System,YSL Pro
TASCAM,Erikson Audio
TC Electronic,AVL Media
TK Audio,RAD Distribution
Warm Audio,Erikson Audio
Wharfedale Pro,Erikson Audio
Ableton,Ableton
Acon Digital,Music Marketing
Acoustica,Hal Leonard
Antares,Hal Leonard
Applied Acoustics Systems,ILIO
Arobas,Music Marketing
Audio Modeling,ILIO
AVID,Music Marketing
Baby Audio,Music Marketing
Beyron Audio,Music Marketing
Blue Cat Audio,Music Marketing
BOOM Library,Music Marketing
Boz Digital Labs,Music Marketing
CEDAR Audio,YSL Pro
Celemony,Music Marketing
D16 Group,Music Marketing
Delta Sound Labs,ILIO
Evabeat,Music Marketing
FabFilter,Music Marketing
FL Studio,Music Marketing
FLUX:: Immersive,LS Media
Hornberg Research,ILIO
iConnectivity,Hal Leonard
ILIO,ILIO
Image-Line,Music Marketing
Indigisounds,Music Marketing
Inspired Acoustics,Music Marketing
Internet Co.,Music Marketing
JackTrip,Hal Leonard
Kilohearts,Music Marketing
KResearch,Music Marketing
Kuassa,Music Marketing
Liquid Music,WaveDNA
Liquid Rhythm,WaveDNA
MAGIX,Music Marketing
MeldaProduction,"Music Marketing)

Melodyne"
MusicLab,Music Marketing
My Music Staff,My Music Staff 
n-Track,Music Marketing
Native Instruments,Native Instruments
NUGEN Audio,Music Marketing
Ohm Force,Music Marketing
Overloud,ILIO
Pianoteq,Music Marketing
PlugIn Guru,ILIO
Polyverse,Music Marketing
PSP Audio,Music Marketing
Reason Studios,Hal Leonard
Relab,Music Marketing
Reveal Sound,Music Marketing
Serato,SFM
Slate Digital,Music Marketing
Softube,YSL Pro
Sonible,Music Marketing
Sonnus,Hal Leonard
Sonoma Wire Works,ILIO
Sonuscore,Music Marketing
SoundSwitch,inMusic
Spectrasonics,ILIO
Steven Slate Drums,Music Marketing
Sugar Bytes,Music Marketing
Synchro Arts,Music Marketing
Synthogy,ILIO
Tal Software,Music Marketing
Tek'it Audio,Music Marketing
The Vienna Symphonic Library u-He Software,Music Marketing
Utelogy,Techni+Contact
Wave Arts,Music Marketing
WaveDNA,Music Marketing
Waves,"GerrAudio, Waves"
XCHANGE HD,Music Marketing
XCHANGEMarket.com,Music Marketing
Xhun Audio,Music Marketing
XILS Labs,"Music Marketing)
Sound Reinforcement, Installed AV & Related Products
Admark Pro Audio"
AMX/SVSi,Techni+Contact
APB Dynasonics,Contact Distribution
Aphex,Erikson Pro
Appsys Pro Audio,GerrAudio
Arrow,Doyle Audio
ARTcessories,Yorkville Sound
ARX Systems of Australia,Olsen Audio
Ashly Audio,Erikson Audio
AtlasIED,SC Media
AudioPressBox,GerrAudio
AuviTran,Contact Distribution
AVANTE,SFM
AVM,Audio Video Metals
Axiom,Proel
Axys,HPC
B&C Speakers,"McBride, Q-Components"
Bag End,Bag End
Behringer,AVL Media
Beyma,"McBride, Q-Components"
Broaman,Contact Distribution
BSS,HPC
CODA Audio,SC Media
ConferX,SFM
"Crest Audio by Peavey Commercial Audio
(Techni+Contact",
Crown,HPC
CTS,"McBride, Q-Components"
DAS Audio,Supreme Media
dB Technologies,Erikson Pro
DBX,HPC
Denon Professional,inMusic
DiGiCo,GerrAudio
DirectOut,Contact Distribution
Doyle Audio Engineering.,Doyle Audio
Duratex,"McBride, Q-Components"
EAW,SFM
ECLER,Techni+Contact
EM Acoustics,Contact Distribution
FBT,Erikson Audio
Ferrofish,"GerrAudio)

Fourjay"
Fulcrum,SFM
Funktion-One,"Audio Distributors
International"
Glensound,GerrAudio
Goldwood,"McBride, Q-Components"
HarrisTech,"McBride, Q-Components"
HK Audio,Yorkville Sound
Innovox Audio,Contact Distribution
JBL,HPC
Klark-Teknik,AVL Media
Kling & Freitag,AVL Media
Lab.Gruppen,AVL Media
Lake,AVL Media
LEA Professional,SC Media
Lencore,Contact Distribution
Lexicon,HPC
Linea Research,Contact Distribution
LynTec,GerrAudio
Make Pro Audio,Contact Distribution
Marantz Professional,inMusic
McBride,"McBride, Q-Components"
"MediaMatrix by Peavey Commercial Audio
(Techni+Contact",
Mercury Notifications,Contact Distribution
Meyer Sound,GerrAudio
MG Electronics,"McBride, Q-Components"
Midas,AVL Media
MIPRO,Techni+Contact
Misco,"McBride, Q-Components"
MyMix,GerrAudio
NEXO,Yamaha Corp.
Optocore,Contact Distribution
Ortronics,Legrand
OWI,Contact Distribution
Panamax,SFM
Patton Electronics,Techni+Contact
Philips,"McBride, Q-Components"
Powersoft,Erikson Audio
Powerwerks,Coast Music
Prologue,Techni+Contact
QSC,SFM
QSYS,SFM
Quad Industrial,Erikson Audio
Quam,"McBride, Q-Components"
Radian,"McBride, Q-Components"
Rane Commericial,inMusic
RCF,AVL Media
Renkus-Heinz,Contact Distribution
RF Venue,"Audio-Technica Canada, Erikson
Audio"
RME,GerrAudio
RTI,"SFM)

Sammi"
Sonance,SC Media
Soundcraft,HPC
SoundScape,"McBride, Q-Components"
Stewart Audio,Techni+Contact
Symetrix,AVL Media
Tannoy,AVL Media
Timax by Outboard Electronics,"Contact
Distribution"
VERO by Funktion-One,"Audio Distributors
International"
VTC ProAudio,Yorkville Sound
Waves Systems,Contact Distribution
Wireless Solutions,SFM
XTA Electronics,Supreme Media
Yamaha Commercial Audio,Yamaha Corp.
ASI Audio/Sensaphonics,GerrAudio
Earasers,Big Bang
Hear Technologies,Diffusion Audio
KLANG,GerrAudio
Minuendo,Minuendo
Periodic Audio,"McBride, Q-Components"
V-Moda,Roland Canada
Vibes,"Big Bang, Counterpoint)
Home AV & Related Products
Gemini Sound Products"
LoupeDesk,Audio Distributors International
Moukey,Donner
Nuvo,Legrand
On-Q,"Legrand)

Pro Control"
Wiremold,"Legrand)
Intercom Systems
Brahler"
Clear-Com,GerrAudio
Green Go,Erikson Pro
ION Audio,inMusic
Pliant Technologies,AVL Media
Pro Intercom,Contact Distribution
Telex RTS,SFM
Telos Infinity,AVL Media
Wisycom,AVL Media
WolfVision,Techni+Contact
Zero-Ohm,"AVL Media)
DJ Equipment
Allen & Heath"
Reloop,Erikson Audio
Denon DJ,inMusic
Gemini Sound Products,Coast Music
Mixars,Erikson Pro
MWM,SFM
Pioneer DJ,SFM
Rane DJ,inMusic
Stanton,"inMusic)
Acoustical Products, Instrumentation & Test Equipment
Audio Precision"
Auralex Acoustics,Auralex Acoustics
ClearSonic,ClearSonic
GeerFab Acoustics,Hal Leonard
GRAS Sound & Vibration,GerrAudio
Mellotone,"McBride, Q-Components"
Murideo,SFM
Primacoustic,"Primacoustic, Radial"
Rational Acoustics,GerrAudio
Vicoustic,"Focal Naim)

CANADIAN MUSIC TRADE 61

Lighting, Video & Special Effects Products
Absen"
Antari,SFM
ArKaos,inMusic
Atomos,Audio Distributors International
Avolites,AVL Media
Barco,SC Media
Blackmagic Design,SFM
Blizzard,AVL Media
Cameo Lighting,Adam Hall
Chamsys,Erikson Pro
Chauvet,Erikson Pro
Christie,SFM
Claypaky,SC Media
Da-Lite,Legrand
dLux,Supreme Media
ELC,Erikson Pro
Eliminator Lighting,SFM
Fujinon,SFM
GLP,AVL Media
Grandview,Techni+Contact
GTEK LED Displays,Supreme Media
Iluminarc,Erikson Pro
Infiled,AVL Media
Just Add Power,SFM
KAM,JHS
Littlite,SFM
Luxul,SFM
Martin Professional,HPC
Minrray,Techni+Contact
Netgear,SFM
Novastar,SC Media
Orion,Yorkville Sound
Spinetix,Techni+Contact
Spotlight,AVL Media
Sundrax,AVL Media
The Screen Works,SC Media
Vaddio,Legrand
VISS Display,SC Media
WORK,AVL Media
Xilica,Techni+Contact
YoloLiv,Audio Distributors International
ZOOM,"AVL Media)
62 CANADIAN MUSIC TRADE

Staging
DH Pro Stage"
Global Truss,SFM
Intellistage,AVL Media
Saf-T-Rig,Erikson Pro
Trusst,"Erikson Pro)
Print Music, Educational & Instructional Products
33 1/3"
ADG Productions,"printed music, recordings"
Advance Music,Jamey Aebersold Jazz
Alfred Publishing,"Alfred Music, Jamey
Aebersold Jazz, Login Canada, Musiconeselect, NWC"
All for Strings,Neil A Kjos
AMA Verlag,Mel Bay
Angel,Coast Music
Archives,D'Addario Canada
Backbeat Books,Hal Leonard
Bass Logic,Bill Edwards
Bastien New Traditions All in One Piano Course,Neil A Kjos
Bastien Piano Basics,Neil A Kjos
Beacon Music Company - Dick Bennett Guitar,Musiconeselect
Belwin,Alfred Music
Berandol Music,Mayfair
Berklee Press,"Hal Leonard, Jamey Aebersold Jazz"
Bernard Stein Music Company,Musiconeselect
Black Ink,NWC
Bloomsbury Academic,Login Canada
Blue Rodeo Songbooks,Musiconeselect
Breezin' Thru,Breezin' Thru
BriLee Music,Carl Fischer
Broadway Press,NWC
Broude Bros and Broude Trust,Alfred Music
Canadian Music Trade Magazine,NWC
Canadian Musician Magazine,NWC
Carl Fischer,"Carl Fischer, Musiconeselect, NWC)

Cengage"
Centerstream Publishing,Hal Leonard
Charles Colin Publications,"Charles Colin,
Jamey Aebersold Jazz"
Conservatory Canada,"Music for Young
Children"
Dancing Hands Music,Mel Bay
David E. Smith Publications,David E. Smith
"Debra Wanless [Christopher Norton Connec-
tions Lawless Theory]",Musiconeselect
DEG,St. Louis Music
Doctor Mozart,April Avenue
Doug Beach Music,Excelcia
Dover Publications,Alfred Music
Edition Bourges -Chilly Gonzales,"Musicone-
select"
Edition Peters,"Alfred Music, Musiconeselect"
Edition Royalto,Alfred Music
Edwin F. Kalmus,Alfred Music
Essential Elements,Hal Leonard
ETP,NWC
Excelcia,Excelcia
Excellence in Theory,Neil A Kjos
Faber Music,Alfred Music
Faber Piano Adventures,Hal Leonard
FJH,Musiconeselect
Focal Press,NWC
Foundations for Superior Performance,"Neil
A Kjos"
Frederick Harris,"Musiconeselect, Music for
Young Children, NWC, RCM Publishing"
Fretboard Logic,Bill Edwards
GIA,Musiconeselect
Gia Publications,Jamey Aebersold Jazz
Groove3,Hal Leonard
Grossman's Guitar Workshop,Mel Bay
Guitar Master Class Publications,Mel Bay
Hal Leonard,"Hal Leonard, Jamey Aebersold
Jazz, Login Canada, Musiconeselect, NWC"
Highland/Etling,Alfred Music
Homespun,Hal Leonard
Hope,Musiconeselect
Hudson Music,Hal Leonard
International Music Company,"Musicone-
select"
JAL Press,Mayfair
Jamey Aebersold Jazz,"Alfred Music, Jamey

Aebersold Jazz, Musiconeselect"
Joel Rothman Publications,Musiconeselect
Kalmus,Alfred Music
Ken Bauer Productions,David E. Smith
Kendor Music,"Excelcia, Jamey Aebersold
Jazz"
Kjos,Musiconeselect
KJOS,NWC
Koala Music/Learn to Play Music,"Musicone-
select"
Leila Fletcher,Mayfair
Leslie Music Supply,Mayfair
Light of the World Music,David E. Smith
Lorenz,Musiconeselect
LudwigMasters Publications,Alfred Music
Majestic Music Publications,David E. Smith
Marlo Folders,Hal Leonard
Mayfair Music Publications,"Mayfair,
Musiconeselect"
McGinnis and Marx,Alfred Music
McGraw-Hill,NWC
Mel Bay,"Jamey Aebersold Jazz, Login
Canada, Mel Bay, Musiconeselect, NWC"
MJS,NWC
Music for Young Children,"Music for Young
Children"
Music Sales,Jamey Aebersold Jazz
Musica Baltica,Alfred Music
MUSICFOLDER.com,Small World
Musicians Institute,Hal Leonard
Native Ground Music Inc.,Mel Bay
Note Speed Card,Musiconeselect
NoteFlight,Hal Leonard
Nuvo Instrumental,Counterpoint
One Eye Publications Oxford University Press,Musiconeselect
Penguin,Alfred Music
PIANO Plus!,Gilpin Publishing
Piano Pronto,Musiconeselect
Piano Town,Neil A Kjos
Prentice Hall,Jamey Aebersold Jazz
"Professional Lighting & Production Magazine
(NWC",
Professional Sound Magazine,NWC
Psalm 150 Publications,David E. Smith
RCM Publishing,RCM Publishing
Reditmo,Donner
Rich Heffler Music,David E. Smith
Rick Latham,Alfred Music
River Song Productions,David E. Smith
Routledge,Login Canada
Royal Conservatory of Music,"Music for
Young Children"
Sammy Nestico Music,Excelcia
Santorella,"Musiconeselect, NWC"
Shawnee Press,Hal Leonard
Sher Music,"Jamey Aebersold Jazz,
Musiconeselect, Sher Music)

Sight Singing for Success"
Simon & Schuster,Jamey Aebersold Jazz
Skeptical Guitarist,Musiconeselect
Standard of Excellence,Neil A Kjos
Stipes,Musiconeselect
Stockton Music Services,David E. Smith
String Basics,Neil A Kjos
The Full Voice,Musiconeselect
Theory Time,Musiconeselect
Tradition of Excellence,Neil A Kjos
Ultimate Music Theory,"Ultimate Music
Theory"
Vintage Guitar Price Guides,Hal Leonard
Watch & Learn,Musiconeselect
Watch Me Play,Bill Edwards
Waterloo Publications,Mayfair
Wiley,John Wiley
Willis Music,Willis Music
Willis Piano,Hal Leonard
Windsongs Recorder Method,"Empire Music)
Gifts & Toys, Retail Displays & Solutions, Miscellaneous
Active-e"
Aim Gifts,"Counterpoint)

AIMsi"
Axe Heaven,Hal Leonard
Dynatomy by D'Addario,D'Addario Canada
Future Primitive,Chesbro Music
Gig Gear,Gig Gear
HAS,HSA
Inovativ,SFM
iPort,SC Media
Lizard Spit,Golden Hawk
Mayfair Gifts,Mayfair
MG Chemicals,Next Gen Musical
Music Stamps,D'Addario Canada
MusicNomad,SFM
Oasis,Coast Music
Rain Retail,Rain Retail
Trophy,Coast Music
Woodrow,"Hal Leonard)

STAY
CONNECTED
canadianmusictrade.com

CANADIAN MUSIC TRADE 63

"
